customer_id,name,email,phone,signup_date,country,state,city,customer_segment
0740e9e1-e88e-4ec6-a866-76a790025ee8,Rachel Shields,carterpaul@example.org,001-483-398-2622x4447,2022-03-08,US,Hawaii,Hillport,dormant
af03e8b7-cd17-4f7a-a310-60016aff557a,Alison Compton,joseph70@example.org,720-973-5647,2023-10-31,US,Vermont,West Christopherberg,active
922b1814-24b4-4447-969a-26b0ab2a5b01,Amanda Stewart,earl78@example.org,+1-441-206-7275,2022-11-28,Canada,Alberta,Deborahport,active
cc4d702c-2cea-4f72-bd3f-fcb6f95e94a1,Denise Knight,wsimmons@example.org,+1-948-446-8536x6498,2024-02-28,US,Alaska,New Victor,new
50eb5a41-ebfc-4461-ae3f-81e69a3a1ddb,Donald Hobbs,cory42@example.org,347-573-2449x1342,2023-10-02,Canada,Nova Scotia,North Carmen,active
89f7556f-3625-4012-bc78-eb9004ee1374,Mike Bradley,thomas74@example.org,001-222-694-6430x3942,2024-02-14,UK,Scotland,Jenniferhaven,new
f147eecb-7dcd-4057-b179-18303e3eff97,Aaron Galloway,smithpaul@example.org,001-595-712-3972,2023-04-19,Germany,Hamburg,Port Feliciaberg,vip
021e107a-baf0-4313-997d-235c49a10b59,Barbara Lambert,jenniferhall@example.org,001-801-362-3419x0310,2024-02-23,US,Michigan,South Drew,new
409e4737-97c5-4657-b34f-12892bc4de60,Sarah Cummings,hullcheryl@example.net,256.217.8688x0023,2022-06-07,Canada,Nova Scotia,West Kimberlyville,vip
b4af99bc-74c9-4122-94af-4f63add8af5f,Jared Dyer,zskinner@example.com,001-606-636-2198x65504,2023-02-11,Canada,Manitoba,Dianamouth,dormant
588c4d55-908c-4b22-b418-eea057caad2f,Matthew Reynolds,jenniferking@example.org,+1-903-515-8925x8490,2022-12-13,US,Maryland,North Jeremy,dormant
2d6159e3-ea1d-4c5a-853c-4d2b1565c1da,Sean Huerta,jonathan25@example.org,(694)220-4164x1537,2023-12-03,US,Utah,Christopherborough,active
630f16fe-899d-4a1d-b7b4-08d32f73e7cd,Bradley Lynch,kyle04@example.com,(236)347-9214,2022-08-15,UK,Scotland,Port Jessicafurt,dormant
3cce5a88-c69e-421b-88c2-d90dd502f4d1,Donald Gray,cdougherty@example.org,266.304.7412,2023-01-14,US,Ohio,East Samuelborough,dormant
473a133b-dd7e-4a96-a2ab-62fb79b79402,Whitney Nelson,amartinez@example.org,767-282-0369x0615,2024-02-07,US,Texas,South Renee,new
bfc112ba-453a-4de3-98d4-8a4ece1e1de1,Tyler Leon,stephaniemckee@example.org,001-595-958-7799x36427,2023-01-28,US,Pennsylvania,Shawnbury,dormant
3adde3bc-ab3b-468d-a017-374b4a4c0994,Barbara Fox,smithjohn@example.org,937-382-8687x22030,2023-10-11,US,Arkansas,Port Rogerburgh,active
9fafca07-c5c7-4a38-9db5-f19ce00bb743,Jamie Jackson,mmann@example.org,001-668-900-7119,2023-04-03,US,Massachusetts,Lake Stacystad,dormant
638041a1-108b-4baa-a70c-c9acf6ef9553,Brian Ballard,shannon27@example.net,792.626.8949,2023-06-06,UK,Northern Ireland,South Madeline,active
903644c9-5fe4-494a-a1f3-872a5dc6ab57,Michael Washington,ybraun@example.org,954.976.6307,2022-01-27,US,Massachusetts,Lake Deannashire,active
e2d942f4-5cac-4c86-bb6a-0a0a96a4e40a,Shannon Mahoney,michael16@example.com,001-891-656-6303x6338,2023-03-23,US,North Carolina,Cookton,vip
610651e2-f64a-45f4-8244-9f166ba6bb75,Terry Phillips,yrodriguez@example.org,+1-375-934-0961x99751,2023-01-21,Canada,New Brunswick,Robertborough,active
08d8859c-66fe-4417-923e-ada6bd4aa530,William Silva,christinesmith@example.net,001-776-210-3216,2022-03-16,US,Oklahoma,Hernandezfort,dormant
947fd93e-83a6-43d2-998a-836cbc53774b,Jessica Lee,xritter@example.org,650-518-1878x5037,2024-04-19,US,Missouri,East Matthewport,new
aa7f3132-6181-444a-9839-b501d2f13a1a,Natasha Turner,nmendez@example.net,3529334750,2024-04-15,US,Oklahoma,West Jessica,new
4e7a02f5-f62d-401f-b528-5d0af80d68c0,Mary Walker,cindysmith@example.net,928-423-6160x109,2023-07-21,US,West Virginia,Lake Amanda,vip
68b6af5f-82ce-4006-b828-bd584ddcca8e,Jennifer Baxter,parkersherri@example.org,821-326-1090,2023-07-25,US,Arkansas,Lake Ashley,active
97198d0a-6c19-4d9f-905c-29dc36e40570,Kelsey Villarreal,jennifersanders@example.org,+1-996-901-4471x599,2024-02-24,US,Texas,New Jonathanview,new
380c5f49-8f55-41e2-ac47-bad2ea30db5c,Rebecca Pineda,tarakane@example.com,886.226.4616x1501,2024-04-18,US,Michigan,East Markton,new
b2c5d6ab-d24d-4f8c-b1df-21249f6fe4c5,Lynn Smith,ajohnson@example.com,001-998-543-6348x61565,2023-02-11,US,Maine,Lake Jonathanfurt,vip
825beef6-e9ca-4194-bc17-e91c96470e0c,Nathan Walker,hcrosby@example.org,(907)345-1152x471,2022-06-08,Canada,Alberta,Lake Benjaminborough,vip
cd71de6f-8bae-49d2-bfcc-19a8101e3c99,Tracy Morris,rebecca89@example.com,+1-453-394-5345x2385,2023-04-07,US,Maine,Boothland,active
d255ae66-cd56-4965-947a-fc7887d075ca,Emily Williams,carpenterrobert@example.org,001-429-980-6515,2024-04-07,US,Arizona,Lake Edwinfort,active
eb12ee17-67dc-49a6-9cb6-10cc78dd8c48,Alan Hall,michael61@example.net,001-908-906-3425,2024-02-26,UK,Northern Ireland,Martinburgh,new
c9c25a3e-c7ee-4b59-a203-f6a6ae6c4e65,Emily Burns,oscar80@example.org,393.276.2241x419,2023-06-08,Germany,Bavaria,West Andre,active
2fe16a9b-5468-4297-9736-38608e280640,Mark Hamilton,andersontina@example.com,989-950-8164,2022-03-14,US,Illinois,Walshfurt,dormant
be06b949-3d22-4d24-a7c7-9622a23b73f7,Sandra White,wrightlucas@example.org,467-437-4976,2022-12-08,US,Arizona,North Martin,dormant
a31282e2-6869-4880-947f-744e5160dc76,Mary Fitzgerald,elizabethortiz@example.net,385.955.7605x8789,2024-01-05,US,Missouri,Port Catherine,active
0cea2329-de7c-48cf-ae74-ce7dfec86cc2,Michelle Anderson,anthony41@example.net,398.678.5928x6867,2023-05-08,Germany,Berlin,South Brendaside,active
e5a0ba19-6693-4036-b995-b3b2a41a678a,Michael Brown,twilson@example.net,2423116334,2023-08-06,UK,Scotland,Rossborough,vip
1f672860-145d-4ec4-a366-374ef6a2f53c,Dr. Patrick Thompson,matthew21@example.com,823.614.8897x555,2024-04-22,US,Delaware,New Ashley,new
508cf050-148b-40f9-a188-3a6127725131,Veronica Davis,shaffermary@example.net,(889)565-7146x8472,2023-07-26,US,Alabama,East Julieland,active
0852b289-200a-42bf-9cae-36bdcb47b281,Brittany Gomez,andersonelizabeth@example.org,813.520.9046x6129,2022-01-12,UK,Scotland,Port Charlesstad,active
8be97fa7-fb9e-4b61-9d8c-3e4064da8b1c,Chris Ponce,ygallegos@example.com,+1-793-658-9441x4372,2023-04-03,Canada,Quebec,Kimberlyville,vip
3233268f-cf8d-4103-bf4c-15bac01dee40,Maureen Ellis,ahill@example.net,+1-455-329-8071x79653,2022-11-13,US,New Hampshire,New Dannyfort,active
4f2832ed-222b-42a0-a94a-1de8f8e78ff1,Kristopher Hayes,odixon@example.net,+1-468-291-0087x2924,2023-05-24,US,Missouri,Lake Laurie,vip
d71857aa-bfe7-4e89-9dbe-bc32119accf5,Norma Riley,bonnie14@example.net,570-877-5740,2022-10-09,UK,England,East Kevinton,dormant
a4d7822f-f27c-404f-88ae-4a60cb303878,Isaac Calderon,pamelanelson@example.com,273.772.2770x15590,2022-08-27,US,Illinois,Hendersonville,dormant
708116b3-ac42-4904-9b90-1ad176935278,Jeffrey Griffin,april01@example.net,(657)362-8577x73813,2023-01-27,US,Nebraska,Ianville,vip
91098852-2a72-4a73-a0ac-f7a8df2f7259,Lori Stevens,anagordon@example.net,001-925-744-4086x99197,2022-09-25,US,Mississippi,Nicholasfort,churned
161b62da-8b33-462e-b798-fae6e08e72d9,Douglas Coleman,elizabeth51@example.com,+1-631-408-4656,2023-09-26,US,Illinois,West Jessica,vip
9e0a00a6-77aa-45d3-977b-b35cff8a4db5,Charles Jackson,vsullivan@example.org,(216)660-1930x63603,2022-10-01,UK,Northern Ireland,North Kristine,active
83df18bc-1886-4c14-9fe4-2f244862d133,Brandi Schmidt,lorettawade@example.com,775.267.9847,2023-05-17,UK,Wales,Port Joseph,active
91e7045e-b4b3-47ad-a7a9-e64822bbd9ab,Kara Green,bryanpamela@example.com,(867)868-4093x8012,2022-06-23,US,Alabama,Lake Williamview,churned
c79a7318-97c7-4719-be1f-275dbd92e2a4,Gary Taylor,knightblake@example.com,897.554.8411x99475,2022-11-26,UK,Wales,New Samantha,active
44a8094c-38fa-4e4d-9f6f-77f012a41a04,Angel Adams,courtney05@example.org,001-649-392-2892x14155,2022-09-17,US,Minnesota,North Emma,dormant
a41f8664-664b-4ebe-9063-08fa0c67b8be,James Le,davisdenise@example.net,(857)424-6746x88501,2022-01-02,US,Tennessee,Jonesview,dormant
864b96b8-1747-4cc1-a202-9ade50f85c0f,Curtis Jenkins,michealpeterson@example.org,365.288.9662,2023-04-05,US,Colorado,West Eugeneport,active
33619921-d5c5-465f-9b2c-b0ae1e8821dd,Samantha Campbell,jeremy49@example.net,429.727.7995x420,2022-07-09,US,Wyoming,Cherylstad,active
5bece6f6-97de-4279-87b4-c3a203cf2bb7,Glen Williams,patricia38@example.com,695.903.0510x509,2022-02-10,UK,Wales,Moorestad,active
37e8b730-081e-4788-bcc3-6b2b318e15fd,Kayla Benson,rodriguezjulie@example.org,499-538-8864x66366,2022-05-14,UK,Northern Ireland,Jimmyport,active
96e043d6-3cc2-45ca-b393-ea857d3d7a70,Megan Smith,williamseric@example.org,+1-377-459-9823x030,2022-09-29,US,Michigan,New Nicholas,active
d1e3cf21-5f03-4141-89a6-282988466f79,Stephen Wilson,jenniferburgess@example.org,(804)300-7184,2023-09-21,US,Michigan,Hatfieldmouth,active
30675dc1-9979-491f-96a0-9b28ddae3a41,Renee Villarreal,williamssarah@example.com,393.216.6111,2023-01-19,Germany,Berlin,New Dennis,dormant
e3e2f7d6-0b15-45e8-979e-ed5dcd6a32b0,Morgan Allen,john00@example.net,844-896-3417x46097,2022-09-24,Canada,Saskatchewan,Port Brandon,dormant
4830f893-ec70-4b74-9d0f-b9cb1a8df72d,Sarah Floyd,osanchez@example.org,(548)258-0389x40859,2023-04-18,US,Texas,South Kevin,active
adbf5054-d91f-4def-8000-10a8e88ee72c,Michael Smith,qsimpson@example.net,559.282.4889x11480,2022-08-13,US,Delaware,Phillipsmouth,dormant
07247e07-e145-475a-959f-e9e5ab994dc6,Dr. Robin Williams,eric93@example.net,(488)953-4118,2023-01-21,US,Indiana,Collinmouth,dormant
f49594f5-5183-4f33-ba40-e9b2f1b18555,Michelle Medina,marissanolan@example.com,+1-561-474-9406x558,2023-04-26,US,Louisiana,Baileyborough,dormant
78650d41-b1df-47b1-88f8-051f048e6a2f,Jennifer Baker,cmay@example.com,494-498-5531,2023-03-26,US,New Mexico,Gutierrezview,active
1b458081-106e-4baf-a7bb-ad8eaf58ae65,Mrs. Tammy Trujillo,sylviageorge@example.org,001-696-979-3445x735,2022-08-05,US,Minnesota,South Jeremyside,active
16800544-b72e-4e15-9101-32c18850685c,Eric Bryan,thomasbowen@example.com,4146742386,2022-05-14,Australia,Victoria,New Danielland,dormant
2b306f03-ae85-4887-9194-1c31d46dac99,Jonathan Francis,daltoncassandra@example.org,(685)919-3230x37472,2024-02-05,Australia,New South Wales,New Amy,new
ab47166d-77b9-4639-9c7f-5e8486a3cfae,Tara Johnson,jeffrey36@example.org,001-322-492-1723x54143,2022-12-28,UK,Scotland,East Morganchester,active
e69918b2-c163-4db5-9696-d65488e11d6a,Isabel Lopez,lgibson@example.org,(915)640-0575x2831,2022-10-05,US,Washington,New Nicole,vip
6840d6cb-832e-4640-8ea4-e4ce5dd3618a,Jaime Jones,justin39@example.com,+1-401-293-2270x9334,2022-08-21,US,Nevada,North Tanyatown,dormant
d8b835b5-7caf-404d-b949-a047853c6e8d,Kevin Frey,caitlingibson@example.org,500.331.1940x4150,2023-07-31,US,Idaho,Tonyaland,active
93062488-787e-4a58-8744-432f7d46f175,Jose Woodward,barbara84@example.com,877-685-8018x3866,2023-08-31,US,Mississippi,North Allisonfort,active
98e6c96f-0aa1-4984-9823-b1055fd1a01d,Stephanie Morris,aprilwatts@example.org,5079217986,2022-11-08,US,Nevada,Serranoburgh,churned
