return_id,order_id,product_id,return_date,refund_amount,return_reason_code,processed_by
8d5e2c69-3797-4e76-a6b2-1cb5edecb5c9,4d032329-2331-4e9f-889b-98f9c28dd456,916235cb-fa83-49f6-adf0-9850d2c07a41,2024-04-17,21.81,DEFECTIVE,Lucas Howard
e6b5e7c3-cccb-47b9-b2d4-b0d6d5177ae6,4f47eab0-f345-4d27-b2c0-fcdd60d25a08,1088ee03-7e31-44f1-831a-a668fb262704,2024-01-18,1562.44,FIT_ISSUE,Kathleen Smith
960e1c20-09dd-4795-b9b4-e7025a968a9b,78ac5b5b-f2c3-4941-b91f-714e961471bd,9dfc9914-3bf3-4c60-beb0-70fb3381207e,2024-04-03,67.25,BUYER_REMORSE,Billy Jimenez
4353e9b9-57b1-42e9-9384-e1542569f1f9,7e5ad963-cd6a-40d4-9e5f-88b89461ac83,114ebfe6-49aa-4dda-8d3f-b595fbe8e938,2024-04-30,1195.61,BUYER_REMORSE,Omar Frey
adb8cb72-6a5c-4a31-87fb-024c7ec21706,a096f08c-2b9f-4fa4-82bb-bab837c389b8,a9d00492-6c65-42a1-8412-38486879c07b,2024-04-30,859.43,WRONG_ITEM,Erika Sanders
123f0f32-0fdf-49a4-b723-121282c94753,9c4c45c8-6c98-404f-b8f1-d9f8a0956e69,5a090f46-8bed-4a6d-9462-be78c434306a,2024-03-21,289.43,BUYER_REMORSE,April King
547a442e-979b-44bb-a6ef-15aa9acf9d98,679d5456-fac8-485e-a733-dd94e524492f,4788a9b2-dbf5-4380-a3f5-01e686c4b74a,2024-04-10,32.8,DAMAGED_TRANSIT,Brian Cardenas
309a5393-6eec-4c28-b7dc-30012ad75383,9ac6bafd-b5ae-4cd0-8beb-9af12d22b057,94de0575-f029-45b2-b98d-38041a03d07b,2024-04-24,10.21,BUYER_REMORSE,Regina Anderson
77616587-4cc6-487a-8f92-ce76093aa035,5bf2c451-e9b2-424c-abe0-458e25f1cc46,65b867dd-7a47-4c95-8127-7da5496ac126,2024-02-13,215.04,DEFECTIVE,Ryan Williams
57c6097d-3bb0-4338-8dd2-e340b3a13d42,2f4af09e-17bd-463b-9f37-169386cf64e0,71ac4eb9-272d-40cf-a1d2-612d40fbd73b,2024-02-17,125.11,WRONG_ITEM,Anthony Stein Jr.
a6c678f3-8a25-4a67-9c6f-3a6c4fd78863,ad99c11b-2dcb-43fb-b621-54c40c7ee864,6a02a409-c34c-4285-802e-f578a3e80579,2024-01-05,237.58,LATE_ARRIVAL,Phillip Jefferson
b99c1426-0aca-4add-bbdd-3ba5f153710f,0f6c276d-8605-416d-afbd-a95565f7d4f1,f42706f1-db2e-4b3c-9dca-0fe9e95d62b2,2023-11-29,117.47,DAMAGED_TRANSIT,Brenda Hanson
2a438969-ddc1-4195-b2c9-e325c82c2b98,b1d313e8-755c-4054-a91e-f14d4610b0b7,08e549b2-bae6-442c-b4d4-d91076479896,2023-11-04,2487.99,NOT_AS_DESCRIBED,Aaron Dennis
4f3b3314-eb6a-4937-9d8e-414507ac1e15,0105a463-41ae-41e0-8ba6-67bebb91e0b3,411cd75b-1833-4f03-8673-00092f0c0e21,2024-01-31,44.89,BUYER_REMORSE,Richard Mckee
e5cc7b9b-3d6d-4b2a-8441-e2256c043d40,e7bb7585-d35b-420e-93e5-809c1b0ca8e3,fd1e3ed4-1d52-4666-aacc-605135449910,2023-12-10,134.69,DEFECTIVE,Jim Simpson
59e0c390-a4f2-4739-b92f-88d52d6281a1,79d99bde-1b93-469b-8c13-49cdc0eefcb4,4613f72d-d39c-4fe5-94a2-9977bb557671,2024-04-30,25.92,DUPLICATE_ORDER,Robert Ramirez
7b6cabdb-a598-4a1f-977a-c28bf3048e42,ac93f2ee-b156-4b96-997d-d7e32c5d54b2,c60260e4-04e2-4b68-be77-c03f489fa5d9,2024-01-13,122.44,FIT_ISSUE,Erica Chen
1c550f6f-3e2c-4a43-b829-604cc3c08b00,40ec613d-2272-497f-aee4-8cedbff2e57a,d322332f-59d8-45ea-a955-6bf93ea758e5,2024-04-30,105.7,BUYER_REMORSE,Carrie Mendez
4398eaef-b616-4291-9cc5-11e98ab1ea68,2b3a8ac3-64d7-41bb-9719-60595ec08e63,b5e9a991-b64f-4ab1-ab03-fc13e6b92d21,2024-02-11,1668.84,NOT_AS_DESCRIBED,Andrew Rodriguez
90ccfd39-1038-44ab-809a-332850bf4817,47ae4990-d1e2-494c-a376-2bc422045c21,3c429655-40c2-4d4e-a986-6c8531be4ee0,2024-03-14,17.96,BUYER_REMORSE,Alison Pena
64318eeb-d6f2-4ed4-8243-fcf41d5e47c4,b6295fa3-edf3-4935-b0bf-114d16a3762c,f1b7e086-8fa3-4887-aa8f-86b683843ce7,2023-04-27,3897.56,DAMAGED_TRANSIT,Donald Merritt
3229abe6-1f92-4b37-bb0b-73e82e0d82da,8dc3f188-e699-4dc2-8ed9-db2b2feeef64,1434268f-cf32-4f5e-84a2-d00ccf8c657c,2024-02-23,76.08,LATE_ARRIVAL,John Rodriguez
84be75e9-9708-481b-aca6-ede883573750,19e9cb3d-fd67-4160-a770-403322062c8a,93cf0230-2bf1-4700-b283-c7768300ded9,2023-12-24,413.86,DEFECTIVE,Jason Chandler
55b4467b-e236-4ade-9633-44d0a26a3a17,4e07090f-03bf-4533-838f-72b5e3f8467e,d3ad85e8-b535-4e98-9f18-9c82b9a84c15,2024-04-30,276.77,NOT_AS_DESCRIBED,Eric Cook
66fd48b3-74b3-4593-ab96-cbfbe784c77b,bbf4e6d5-183e-4a4b-aea1-aa563a7b5d51,e34784c3-dfbf-4bdf-90f7-ab896537cf89,2024-01-13,56.75,BUYER_REMORSE,James Murray
67c0b60e-c3ce-4440-826d-e8f7603dba01,e329516a-48da-437e-86f4-9cad466125fd,92be1883-8c0a-48ee-99f2-7d4f4411475c,2024-04-30,589.34,DAMAGED_TRANSIT,Dennis Thompson
c74e25c3-c671-4de4-958d-195b8de98224,3290a9ad-e166-437d-a1f2-f639d90fd9b3,4d4b6439-f42c-4fa5-b0d6-5d384e52d20e,2023-12-28,64.13,BUYER_REMORSE,Deborah Noble
f39b07c5-ae3b-4973-9a26-47c64086cd0b,7d189353-32c8-489e-ad41-04e855957e63,e202d726-8cc0-4e67-8128-4d4832fd07bb,2024-04-30,168.2,NOT_AS_DESCRIBED,Alexander Fleming
7a94ac58-d1fe-498c-a416-6ce9211b88e3,d907f039-7610-4ea2-aec3-895ed1055f95,9cabdd6e-8ace-44ad-badb-947f65f54e00,2024-01-24,20.42,FIT_ISSUE,Kristina Weiss
b2ce9000-f0cf-4e72-acb8-2c28125b1926,6e641973-f6a8-4576-af8d-876fe6cb487a,5930857a-19eb-43dc-b2eb-35ef5cdecc5c,2023-02-17,34.6,DAMAGED_TRANSIT,Angela Cobb
6299902c-5ccd-4db7-9e7e-81012d3a1eac,6d26e0a8-1af1-4deb-9572-087295c9da2e,2855fe9d-7c0c-42a7-878d-94e3d66224fb,2024-04-05,90.41,FIT_ISSUE,Kari Terry
f8b932b5-1edc-453f-9f03-ad11b9f30ada,55a94d18-4c10-45ed-837b-076ae666334f,d3b42ff1-a2ca-4183-854a-68d9bf010626,2023-05-26,1539.86,NOT_AS_DESCRIBED,Mario Edwards
8ede039e-c621-4a17-92ca-2aff1b08621b,68c9d0a8-b188-4539-8fcb-16e1049ffdc0,01e7c679-9404-4d1a-8b97-1b36c4470152,2023-07-30,151.06,OTHER,Lisa Villarreal
34b747db-895d-4fd4-8623-10dc0bbf1acc,f982537a-f07e-457d-a1a3-efed43dcd744,4628ed7a-dc73-4ddc-8ed4-00ef20663302,2024-03-05,271.27,OTHER,Bernard Foley
c9fd9b02-5ed0-456f-bf7c-22236658a29e,d93d7d8f-512d-42c5-a3c5-bbb67215c011,8ef13727-261b-4814-89fb-1f2807daaf2a,2023-08-26,168.92,FIT_ISSUE,Sandra Harris
3e3e163d-0c85-4608-9642-4de981793222,d08b9f45-a486-4936-9c85-48fe49415a32,ad68635f-81b2-43a9-b4ba-bad2fdba0d05,2023-02-07,34.1,BUYER_REMORSE,Eric White
a70f53da-d3d7-4c27-9941-f1137fe47eb0,01ebed40-3f19-49bc-b658-2bf1d6323595,05697172-79a3-454b-95a0-6b0f8bc63738,2024-04-03,155.3,DAMAGED_TRANSIT,Sheri Williams
ac6417cf-f44c-4b72-b1bd-5b7552289881,a2cf73fe-a82f-4ff9-9271-87ed87c46dc2,1f06bbab-b19f-47bd-9087-158b704d6274,2023-10-14,43.26,BUYER_REMORSE,William Rowe
720b7420-700a-4723-94a3-32e550312b18,db8d8cd2-786b-4bf7-84e0-e4bac7696a44,33e9d31f-cdb0-46af-822d-8f05dddd55d8,2023-08-02,121.13,WRONG_ITEM,Amanda Reynolds
97698955-60ec-4742-84c3-16c07d288a36,a48af327-417a-4744-9586-ddcb93729d7d,21f98c79-0a71-45de-8717-f97e2f889f45,2024-04-30,28.82,BUYER_REMORSE,Amanda Woods
41d564c0-61d2-417f-9f47-61f23112dc3e,5627dffe-a3f5-4427-9c5b-fd47792c89c6,c8ddf131-b909-4b9c-8db9-bfc70c399d61,2023-05-07,52.77,FIT_ISSUE,Daniel Smith
ed0f2463-eb8b-4727-993d-c71793ef58e7,95d0d969-9750-40b4-8860-eab755255a20,6c9d0c00-8a81-4d31-bc44-98bd4ea2d26b,2023-11-21,28.84,NOT_AS_DESCRIBED,Steve Silva
79d24eea-5e32-4e94-952b-3f0daccc0b49,c85c2d0a-4d9c-4dba-96a4-d4a16f9770a0,fe20687a-6c04-4621-88c7-695adc989329,2023-10-04,204.3,FIT_ISSUE,Robert Bailey
1d944240-a0b2-4e2a-b2df-52144cf509f4,e6e8fd51-67e3-48d2-ae72-98436e023a37,49d23f74-4d50-4187-911a-e79f8acefa02,2023-10-03,10.79,NOT_AS_DESCRIBED,Samuel James
405ce358-e0f7-4d90-9d57-1db230369442,0332b30d-829a-4bba-8fd5-c24da2b2092c,d03882ab-4d2a-43be-8154-9ae64f41b968,2024-01-21,144.75,DEFECTIVE,Dennis Fuller
dd5a399b-9bc6-493a-a509-4501429b94de,a39990a7-2284-4fdc-ba32-04898081563a,1f46fae3-2e97-4f2c-ad5e-dcaa091002c2,2024-01-31,271.82,FIT_ISSUE,Travis Tapia
0f3be27a-c68c-4b9a-b236-41b2b328f80c,da549840-6086-4398-9a8d-81e379a3c22c,f99af119-acc7-4246-b1ae-4103e69fddde,2024-04-16,961.63,BUYER_REMORSE,Amanda Wilkins
2b825c44-ec15-49a1-ac7d-aba27e2875a4,b88d57ce-9064-4806-a18c-cdf85618da16,899d8ba4-ab7c-470d-80e8-1a881ad528fd,2023-12-21,31.09,BUYER_REMORSE,Dustin Thompson
09bb7d2c-d218-473b-bd1f-b33dd4a04904,13d4e0cd-0b12-408b-b76a-48d5f936600e,49039f36-2f33-42fc-a6f3-d9bacee55070,2023-11-12,18.47,NOT_AS_DESCRIBED,Mr. Gary Mccullough DVM
a60ca164-191b-48ce-8996-0565485cd40e,0c2c2dbf-5e23-4ef3-ad27-58668013ac9f,f31d727a-2806-489d-a6fa-a62c6ddfde32,2024-01-15,161.42,NOT_AS_DESCRIBED,Nicole Marshall
16e19868-00e1-41d1-b2df-b7e34459e9af,10233c28-59d4-4845-9af0-4a76105943f7,4a67d7b2-3f7c-406a-856e-dd47b3d5e68a,2023-09-12,2000.37,DEFECTIVE,Savannah Foster
7e9a3533-f5ee-4eca-8492-196d0c508343,12d21101-5f0a-4e5e-b87e-ef014f970d94,644a5a43-6ac5-4fb7-81a8-e9e7ba8a1665,2024-04-02,4448.64,DEFECTIVE,James Galloway
54c1bd70-6308-4d5e-8ccd-64af62b751c4,e1812538-6614-487a-83df-22692ab464d2,e4d64418-fc81-4e80-ae04-526acc4b04e1,2024-01-21,188.79,BUYER_REMORSE,Thomas Reynolds
69819006-e698-4e51-a597-adbb114fa216,76229340-55ba-4105-88c4-391bef880bc3,4f239385-ced0-498b-833e-de1e9b67bee8,2023-04-28,60.71,WRONG_ITEM,Marcus Carlson
5e7c84be-bcad-417e-8056-ecf1dc0d2c83,fedefdd3-096b-46f1-8b44-12df360e1997,f2fc610e-ac3e-4877-9cdc-f5211c8a7d6c,2023-05-02,304.21,FIT_ISSUE,Deborah Lewis
bbfbff93-597a-4778-8bcf-a9b99b4a20c2,4ba36a28-0458-4e1a-a1b6-298cb583b073,cac220a9-f678-4f58-8ec5-571119d9f677,2024-04-30,118.35,BUYER_REMORSE,Victoria Fox
ca1a1b16-727d-46d7-bffa-86ecff31b329,96fe92cb-51e7-4349-a618-d3e3d27c6d54,29786b40-1c10-438e-a256-1d1ffb1a9691,2023-10-01,152.23,DEFECTIVE,Ashley Nichols
9a1a5072-5d01-4868-8762-339ad7464c6f,9bc0f6ae-4170-44e8-b495-6a4f25194327,b21ed556-83a7-4d39-9e7d-ede386d8045b,2023-09-01,1600.48,WRONG_ITEM,Joshua Edwards
b1606a7b-4193-4034-943c-b47c6289b7f6,923c36cd-5081-4a02-9951-029375963b61,cb59f795-7530-47ee-98ae-221c2c5803ab,2023-05-28,1771.83,BUYER_REMORSE,Jared Jones
6b1e7f3e-e3c7-41bc-99f3-3c8636afeeb3,e64a4aa3-40b4-4d00-80e5-8dd5e41e476a,7feb4566-b038-4285-970e-079bc58846c6,2024-02-26,144.69,FIT_ISSUE,Jonathan Hughes
933d796f-2e2d-400b-8036-de359784ffea,f3ceba0d-f8bf-481d-a82d-8b61ea73d3fa,f0bdc088-5912-4358-a1fe-bbd7ae400e06,2023-08-26,326.63,DEFECTIVE,Blake Dunn
35b3e255-d80d-405c-878b-d4c3b5560ff1,fd6ba136-bdda-40af-92c3-e78337291028,804330b3-1f08-49e6-9dc4-51ab4f813e4e,2023-08-22,3155.66,NOT_AS_DESCRIBED,Kara Wagner
40ab0672-38fe-4446-a5ec-e56b82c30797,e3b93ce2-c8b0-4333-873a-b717d7f95b63,3f14c6ef-115b-4e89-b3c7-08e0eb60ed93,2023-11-06,15.35,BUYER_REMORSE,Becky Davis
5c96a297-3d7b-4785-b87f-f4e4e860af8a,34b1a47d-1133-4c9b-a757-81588f65a739,f5df5bf5-6020-4f15-a478-f3014944b030,2024-02-18,1283.44,WRONG_ITEM,Michael Mcfarland
1c5cfe9a-a614-4dd1-b199-0bb7c9a5ce52,7e9d8539-a67a-49a9-b8e5-146c68c2abf2,3bd5fda8-9a24-40a6-beb7-cdd9a5e9e4d1,2024-02-28,309.8,FIT_ISSUE,Diana Ellis
6f45f29e-23fb-43aa-b51a-0f95fec85cdf,d5db051f-d6bd-4b00-841d-16c395d0bfa3,18e26c98-81c4-4df1-af14-b4e3ebf987c4,2024-02-23,5562.0,BUYER_REMORSE,Sharon Fisher
097411b3-02a5-433c-9820-288b4bc584d0,0015dd6c-d153-47a1-b056-a63e5b821889,774633f0-6518-4c98-b2a5-8d2cc3499724,2023-11-12,103.25,DUPLICATE_ORDER,Lori King
